"* Select shipping method","* Sélectionnez un mode de livraison"
"AVS Status: %s","Statut du système de vérification d'adresse (AVS)"
"Amount: %s","Montant : %s"
"Auto-generated from GoogleCheckout Charge","Généré automatiquement depuis la facturation GoogleCheckout"
"Buyer account age: %s days","Âge du compte de l'acheteur : %s jours"
"CC Partial: xxxx-%s","Carte de crédit (partiel) : xxxx-%s"
"CID Status: %s","Statut CID : %s"
"Cart Discount","Remise panier"
"Checkout Image Style","Style d'image du règlement"
"Continue Shopping URL","URL de ""Poursuivez vos achats"""
"Debug","Déboguage"
"Default price:","Prix par défaut :"
"Eligible for protection: %s","Éligible pour la protection : %s"
"Enable","Activer"
"Expiration: %s","Expiration : %s"
"Financial: %s -> %s","Financier : %s -> %s"
"Fulfillment: %s -> %s","Accomplissement : %s -> %s"
"Google API","API Google"
"Google Authorization:","Autorisation Google :"
"Google Buyer Id: %s","Identifiant d'acheteur Google : %s"
"Google Charge:","Tarif Google :"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Livraison Google Checkout - Calculé par transporteur"
"Google Checkout Shipping - Flat Rate","Livraison Google Checkout - Montant fixe"
"Google Checkout Shipping - Merchant Calculated","Livraison Google Checkout - Calculé par le marchand"
"Google Checkout: %s","Google Checkout : %s"
"Google Order Number: %s","Numéro de commande Google : %s"
"Google Refund:","Remboursement Google :"
"Google Risk Information:","Informations Google à propos des risques :"
"Google order status change:","Modification de statut de commande Google :"
"Hide Cart Contents During Checkout","Cacher le contenu du panier lors du règlement"
"IP Address: %s","Adresse IP : %s"
"Invoice auto-created: %s","Facture créée automatiquement : %s"
"Latest Charge: %s","Derniers frais facturé : %s"
"Latest Refund: %s","Dernier remboursement : %s"
"Location","Lieu"
"Merchant ID","ID de marchand"
"Merchant Key","Clé de marchand"
"New order status","Statut d'une nouvelle commande"
"Optional, leave empty for home page.","Facultatif, laisser vide pour la page d'accueil"
"Sandbox","Bac à sable (sandbox)"
"Total Charged: %s","Total facturé : %s"
"Total Refunded: %s","Total remboursé : %s"
"Virtual item to reflect discount total","Article virtuel pour refléter le total de la remise"
"You will be redirected to GoogleCheckout in a few seconds.","Vous allez être redirigé vers Google Checkout dans quelques secondes."
"Account number","Numéro de compte"
"Large - %s","Grand - %s"
"Transparent","Transparent"
"White Background","Fond blanc"
"Medium - %s","Moyen - %s"
"Small - %s","Petit - %s"
"United States","États-Unis"
"United Kingdom","Royaume Uni"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Si vous l'activez, le contenu du panier sera caché après que le client aura cliqué sur le bouton Google Checkout, puis restauré si le lien ""Éditer le panier"" a été activé."
"Enable Merchant Calculated","Activer Calculé par le marchand"
"Allowed Methods","Modes de livraison autorisés"
"Add Shipping Method","Ajouter un mode de livraison"
"Remove","Supprimer"
"Enable Carrier Calculated","Activer Calculé par le transporteur"
"Carrier Calculated Methods","Modes de livraison autorisés par le transporteur"
"Delivery Address Category","Catégorie d'adresse de livraison"
"Default price for methods","Prix par défaut pour les modes"
"Default Package Width (in)","Largeur par défaut du paquet (en pouces)"
"Default Package Height (in)","Hauteur par défaut du paquet (en pouces)"
"Default Package Length (in)","Longueur par défaut du paquet (en pouces)"
"Commercial","Professionnel"
"Residential","Résidentiel"
"Enable Flat Rate","Activer les montants fixes"
"Rate 1 Title","Libellé du montant 1"
"Rate 1 Amount","Valeur du montant 1"
"Rate 2 Title","Libellé du montant 2"
"Rate 2 Amount","Valeur du montant 2"
"Rate 3 Title","Libellé du montant 3"
"Rate 3 Amount","Valeur du montant 3"
